Title,Release,Meta_score,User_score,Director,Starring,Genre
High Flying Bird,2019,78,6.1,Steven Soderbergh,"Andre Holland, Bill Duke, Bobbi A Bordley, Caleb McLaughlin, Eddie Tavares, Farah Bala, Glenn Fleshler, Jeryl Prescott, Joy Taylor, Justin Hurtt-Dunkley, Kyle MacLachlan, Melvin Gregg, Michael Durodola, Michelle Ang, Shannon Sharpe, Skip Bayless, Sonja Sohn, Zachary Quinto, Zazie Beetz","Drama, Sport"
One of Us,2017,78,7.9,Heidi Ewing,"Ari Hershkowitz, Chani Getter, Etty, Luzer Twersky",Documentary
Amandla! A Revolution in Four Part Harmony,2003,78,Not Available,Lee Hirsch,"Duma Ka Ndlovu, Vusi Mahlasela","History, Music, Documentary"
A Silent Voice,2017,78,8.5,Naoko Yamada,"Aoi Yuki, Kenshô Ono, Mayu Matsuoka, Megumi Han, Miyu Irino, Sachiko Kojima, Saori Hayami, Toshiyuki Toyonaga, Yui Ishikawa, Yûki Kaneko","Drama, Romance, Animation"
Blue Ruin,2014,78,7.4,Jeremy Saulnier,"Amy Hargreaves, Devin Ratray, Kevin Kolack, Macon Blair",Thriller
The Breadwinner,2017,78,8.0,Nora Twomey,"Ali Badshah, Ali Kazmi, Kane Mahon, Kanza Feris, Kawa Ada, Laara Sadiq, Noorin Gulamgaus, Saara Chaudry, Shaista Latif, Soma Bhatia","Drama, Animation, Family"
The Social Dilemma,2020,78,7.7,Jeff Orlowski,"Aza Raskin, Barbara Gehring, Catalina Garayoa, Chris Grundy, Kara Hayward, Skyler Gisondo, Sophia Hammons, Tim Kendall, Tristan Harris, Vincent Kartheiser","Drama, Documentary"
i'm thinking of ending things,2020,78,6.8,Charlie Kaufman,"Abby Quinn, Anthony Robert Grasso, Ashlyn Alessi, Colby Minifie, David Thewlis, Gus Birney, Guy Boyd, Hadley Robinson, Jason Ralph, Jesse Plemons, Jessie Buckley, Teddy Coluca, Toni Collette","Drama, Thriller, Horror"
Kung Fu Hustle,2005,78,8.7,Stephen Chow,"Qiu Yuen, Shengyi Huang, Stephen Chow, Wah Yuen","Action, Fantasy, Comedy, Crime"
A Secret Love,2020,77,8.2,Chris Bolan,"Diana Bolan, Jack Xagas, John Byrd, John Sorenson, Kim Donahue, Marge Summit, Pat Henschel, Tammy Donahue, Terry Donahue, Yvonne Zipter",Documentary
